Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality
4,No,4,6,No,13,5,Extrovert
9,Yes,0,0,Yes,0,3,Introvert
9,Yes,1,2,Yes,5,2,Introvert
0,No,6,7,No,14,8,Extrovert
3,No,9,4,No,8,5,Extrovert
1,No,7,5,No,6,6,Extrovert
4,No,9,1,No,7,7,Extrovert
2,No,8,4,No,7,8,Extrovert
10,Yes,1,3,Yes,0,3,Introvert
0,No,8,6,No,13,8,Extrovert
3,No,9,6,No,15,5,Extrovert
10,Yes,3,1,Yes,4,0,Introvert
3,No,6,7,No,14,10,Extrovert
3,No,6,4,No,10,7,Extrovert
6,Yes,3,0,Yes,1,3,Introvert
0,No,4,4,No,8,8,Extrovert
9,Yes,0,0,Yes,0,0,Introvert
1,No,5,6,No,10,4,Extrovert
5,Yes,3,0,Yes,4,2,Introvert
1,No,7,5,No,12,5,Extrovert
10,Yes,3,1,Yes,2,1,Introvert
2,No,8,4,No,13,6,Extrovert
1,No,6,7,No,14,9,Extrovert
9,Yes,2,2,Yes,1,0,Introvert
2,No,8,7,No,15,6,Extrovert
2,No,8,4,No,11,9,Extrovert
0,No,6,4,No,14,9,Extrovert
4,No,5,7,No,6,6,Extrovert
2,No,6,4,No,12,10,Extrovert
0,No,9,4,No,14,7,Extrovert
4,No,10,4,No,9,10,Extrovert
4,No,7,7,No,7,9,Extrovert
5,Yes,3,3,Yes,0,1,Introvert
8,Yes,3,3,Yes,2,0,Introvert
10,Yes,1,1,Yes,3,2,Introvert
2,No,6,5,No,14,9,Extrovert
1,No,4,4,No,15,4,Extrovert
1,No,6,4,No,10,5,Extrovert
10,Yes,1,2,Yes,2,0,Introvert
5,Yes,0,1,Yes,5,0,Introvert
3,No,5,5,No,13,5,Extrovert
1,No,4,5,No,12,10,Extrovert
9,Yes,1,3,Yes,2,2,Introvert
6,Yes,2,2,Yes,2,1,Introvert
8,Yes,2,1,Yes,5,3,Introvert
0,No,8,6,No,6,10,Extrovert
4,No,7,4,No,13,10,Extrovert
10,Yes,1,2,Yes,2,0,Introvert
5,Yes,1,3,Yes,3,3,Introvert
1,No,5,6,No,8,10,Extrovert
6,Yes,1,0,Yes,3,1,Introvert
0,No,7,4,No,10,10,Extrovert
9,Yes,0,2,Yes,3,2,Introvert
8,Yes,3,1,Yes,1,2,Introvert
6,Yes,3,3,Yes,4,3,Introvert
3,No,10,4,No,10,5,Extrovert
9,Yes,3,2,Yes,4,3,Introvert
2,No,10,6,No,10,9,Extrovert
2,No,5,7,No,10,5,Extrovert
1,No,9,4,No,7,5,Extrovert
1,No,9,5,No,9,10,Extrovert
9,Yes,2,3,Yes,4,2,Introvert
7,Yes,3,1,Yes,2,3,Introvert
2,No,7,5,No,7,9,Extrovert
3,No,5,6,No,6,5,Extrovert
10,Yes,3,1,Yes,0,2,Introvert
0,No,10,6,No,6,4,Extrovert
5,Yes,1,3,Yes,4,3,Introvert
0,No,4,6,No,6,5,Extrovert
7,Yes,3,2,Yes,1,2,Introvert
8,Yes,3,3,Yes,4,0,Introvert
1,No,1,5,No,11,8,Extrovert
2,No,1,5,No,12,5,Extrovert
8,Yes,5,1,Yes,0,2,Introvert
10,Yes,8,0,Yes,3,1,Introvert
7,Yes,1,3,Yes,2,0,Introvert
6,Yes,1,2,Yes,5,0,Introvert
0,No,0,4,No,9,10,Extrovert
8,Yes,1,1,Yes,5,0,Introvert
4,No,0,6,No,11,6,Extrovert
5,Yes,3,0,Yes,2,0,Introvert
1,No,1,4,No,11,10,Extrovert
0,No,1,6,No,9,7,Extrovert
7,Yes,8,0,Yes,3,1,Introvert
4,No,3,7,No,6,8,Extrovert
3,No,3,4,No,12,5,Extrovert
4,No,8,4,No,8,10,Extrovert
0,No,7,5,No,11,8,Extrovert
1,No,3,6,No,15,8,Extrovert
3,No,7,6,No,2,9,Extrovert
5,Yes,2,3,Yes,4,0,Introvert
0,No,9,6,No,10,4,Extrovert
9,Yes,11,1,Yes,1,3,Introvert
3,No,9,5,No,8,5,Extrovert
1,No,8,6,No,9,6,Extrovert
3,No,2,6,No,11,10,Extrovert
1,No,10,1,No,10,9,Extrovert
3,No,2,6,No,14,7,Extrovert
4,No,6,7,No,8,10,Extrovert
8,Yes,9,0,Yes,4,2,Introvert
5,Yes,4,2,Yes,0,3,Introvert
1,No,4,6,No,8,8,Extrovert
0,No,0,7,No,13,4,Extrovert
5,Yes,1,3,Yes,5,2,Introvert
7,Yes,1,2,Yes,3,3,Introvert
0,No,0,7,No,12,9,Extrovert
0,No,7,6,No,13,5,Extrovert
0,No,10,7,No,9,4,Extrovert
3,No,2,5,No,10,6,Extrovert
9,Yes,6,3,Yes,1,0,Introvert
3,No,0,7,No,15,5,Extrovert
4,No,8,7,No,13,5,Extrovert
1,No,6,7,No,9,5,Extrovert
7,Yes,9,3,Yes,1,0,Introvert
3,No,10,4,No,8,10,Extrovert
4,Yes,10,5,No,15,8,Extrovert
1,No,7,5,No,6,9,Extrovert
5,Yes,4,2,Yes,0,2,Introvert
10,Yes,10,3,Yes,0,1,Introvert
3,No,2,4,No,12,4,Extrovert
6,Yes,5,2,Yes,5,1,Introvert
